INGREDIENTES,UND,PRECIO / unidad,RENDIMIENTO,CATEGORÍA
Turron Liquido,kg,9.91 €,100.00%,Secos y conservas
Uva Blanca,kg,1.45 €,100.00%,Vegetales y frutas
Uva Negra,kg,1.75 €,100.00%,Vegetales y frutas
Vaina De Vainilla,kg,35.40 €,100.00%,Secos y conservas
Ventresca De Atun,kg,37.53 €,100.00%,Proteína animal
Vieira Fresca,kg,31.70 €,100.00%,Proteína animal
Vieja Fresca,kg,12.50 €,100.00%,Proteína animal
Viejas Cong.,kg,6.50 €,100.00%,Proteína animal
Viejas Jareadas,kg,51.25 €,100.00%,Proteína animal
Vieras Cong.,kg,4.50 €,100.00%,Proteína animal
Vinagre Agridulce,kg,38.00 €,100.00%,Secos y conservas
Vinagre Balsamico,kg,,100.00%,Secos y conservas
Vinagre Blanco,kg,0´41 €,100.00%,Secos y conservas
Vinagre De Arroz,kg,4´91 €,100.00%,Secos y conservas
Vinagre De Jerez,kg,3´97 €,100.00%,Secos y conservas
Vinagre De Manzana,kg,1´90 €,100.00%,Secos y conservas
Vinagre De Modena,kg,9´37 €,100.00%,Secos y conservas
Vinagre Estragon,kg,4´54 €,100.00%,Secos y conservas
Vinagre Finas Hiervas,kg,4´68 €,100.00%,Secos y conservas
Vinagre Macho,kg,15´80 €,100.00%,Secos y conservas
Vinagre Miniatura 20 Mml,unidad,0´15 €,100.00%,Secos y conservas
Vinagre Tinto,l,0´49 €,100.00%,Secos y conservas
Viruta De Chocolate,kg,10´01 €,100.00%,Secos y conservas
Viruta De Trufa,kg,72´22 €,100.00%,Secos y conservas
Viruta Lamina Chocolate,kg,11´43 €,100.00%,Secos y conservas
Vol-Au-Vent 34mm,unidad,0´13 €,100.00%,Secos y conservas
Vol-Au-Vent 82mm,unidad,0´25 €,100.00%,Secos y conservas
Vol-Au-Vent Pez 60mm,unidad,0´40 €,100.00%,Secos y conservas
Wasabi,tubo,2´30 €,100.00%,Secos y conservas
Yema Liquida,kg,4´1,100.00%,Proteína animal
Yogour Activvia,unidad,0´29 €,100.00%,Lácteos y sustitutos
Yogour Liquido,unidad,0´19,100.00%,Lácteos y sustitutos
Yogour Natural,unidad,0´17 €,100.00%,Lácteos y sustitutos
Yogour Sabia,unidad,0´34 €,100.00%,Lácteos y sustitutos
Yogour Sabores,unidad,0´16,100.00%,Lácteos y sustitutos
Yogour Sabores Bio Soja,unidad,0´23 €,100.00%,Lácteos y sustitutos
Yogour Sabores C-Fruta,unidad,0´28,100.00%,Lácteos y sustitutos
Yogour Vegetal,unidad,1´24,100.00%,Lácteos y sustitutos
Yogour Vitalinea,unidad,0´18 €,100.00%,Lácteos y sustitutos
Yogur,kg,1´24 €,100.00%,Lácteos y sustitutos
Yuca,kg,2´30 €,100.00%,Vegetales y frutas
Zanahoria,kg,0´63 €,100.00%,Vegetales y frutas
Zanahoria Baby Congelada,kg,0´99 €,100.00%,Vegetales y frutas
Zanahoria Cong.,kg,0´67 €,100.00%,Vegetales y frutas
Zanahoria Rallada,kg,0´47 €,100.00%,Vegetales y frutas
Piparra En Vinagre,kg,17´00 €,100.00%,Vegetales y frutas
Fumet,l,4´50 €,100.00%,Proteína animal
Vino Blanco,l,0´69 €,100.00%,Bebidas
Vino Tinto,l,0´69 €,100.00%,Bebidas
